title;km;price;features;car_location;car_city;url;image_link
Jeep Wrangler 2017 #47869 ; 60000 KM ; Precio: $707999;{' Combustible': 'Gasolina', 'Vidrios Delanteros funcionamiento': 'Eléctricos', 'Transmisión': 'Automática', 'Uso': 'Particular', 'Tracción': '4x4', 'Stock ID': '47869 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/jeep-wrangler-unlimited-rubicon-2017-compra-de-autos-47869;https://images.kavak.services/images/47869/wrangler-jeep-unlimited-rubicon-2017-exterior-frontal_lateral_piloto_cercana-16212932550362.jpg?d=540x310
Honda Accord 2015 #41530 ; 105360 KM ; Precio: $241999;{' Combustible': 'Gasolina', 'Transmisión': 'Automática', 'Tracción': '4x2', 'Uso': 'Particular', 'Litros': '2,4', 'Consumo de Gasolina': '7,1', 'Stock ID': '41530 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/honda-accord-exl-2015-compra-de-autos-41530;https://images.kavak.services/images/41530/honda-accord-exl2015-frontal-lateral-piloto-lejana-1617493293428.jpg?d=540x310
Infiniti Q50 2017 #39442 ; 83440 KM ; Precio: $396999;{' Transmisión': 'Automática', 'Combustible': 'Híbrido', 'Tracción': '4x2', 'Uso': 'Particular', 'Litros': '3,5', 'Consumo de Gasolina': '5,9', 'Stock ID': '39442 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/infiniti-q50-hibrido-2017-compra-de-autos-39442;https://images.kavak.services/images/39442/infiniti-q50-hibrido2017-frontal-lateral-piloto-lejana-1616525891301.jpg?d=540x310
Toyota Camry 2015 #37565 ; 71350 KM ; Precio: $245999;{' Transmisión': 'Automática', 'Combustible': 'Gasolina', 'Tracción': '4x2', 'Uso': 'Particular', 'Litros': '2,5', 'Consumo de Gasolina': '6,6', 'Stock ID': '37565 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/toyota-camry-xle-2015-compra-de-autos-37565;https://images.kavak.services/images/37565/toyota-camry-xle2015-frontal-lateral-piloto-lejana-1613603958431.jpg?d=540x310
Ford Edge 2016 #36161 ; 106640 KM ; Precio: $354999;{' Combustible': 'Gasolina', 'Transmisión': 'Automática', 'Tracción': '4x2', 'Uso': 'Particular', 'Litros': '3,5', 'Consumo de Gasolina': '10,9', 'Stock ID': '36161 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/ford-edge-sel-plus-2016-compra-de-autos-36161;https://images.kavak.services/images/36161/ford-edge-sel-plus2016-frontal-lateral-piloto-lejana-1612887014693.jpg?d=540x310
Infiniti QX60 2016 #35307 ; 87997 KM ; Precio: $395999;{' Combustible': 'Gasolina', 'Transmisión': 'Automática', 'Tracción': '4x4', 'Uso': 'Particular', 'Litros': '3,5', 'Consumo de Gasolina': '8,8', 'Stock ID': '35307 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/infiniti-qx60-qx60-perfection-2016-compra-de-autos-35307;https://images.kavak.services/images/35307/infiniti-qx60-perfection2016-frontal-lateral-piloto-lejana-1612982718356.jpg?d=540x310
Buick Enclave 2017 #33474 ; 65910 KM ; Precio: $424999;{' Tracción': '4x2', 'Litros': '3.6', 'Combustible': 'Gasolina', 'Transmisión': 'Automática', 'Uso': 'Particular', 'Consumo de Gasolina': '9,5', 'Stock ID': '33474 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/buick-enclave-premium-2017-compra-de-autos-33474;https://images.kavak.services/images/33474/buick-enclave-premium2017-frontal-lateral-piloto-lejana-1611026433465.jpg?d=540x310
Bmw I3 2017 #31727 ; 77380 KM ; Precio: $590999;{' Combustible': 'Híbrido', 'Tracción': '4x2', 'Transmisión': 'Automática', 'Uso': 'Particular', 'Litros': '0,6', 'Stock ID': '31727 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/bmw-i3-hatch-back-i3-rex-dynamic-hibrido-2017-compra-de-autos-31727;https://images.kavak.services/images/31727/bmw-hatch-back-i3-rex-dynamic-hibrido2017-frontal-lateral-piloto-lejana-1609261391462.jpg?d=540x310
Infiniti Q70 2016 #29549 ; 67400 KM ; Precio: $439999;{' Combustible': 'Gasolina', 'Tracción': '4x2', 'Transmisión': 'Automática', 'Uso': 'Particular', 'Litros': '5,6', 'Consumo de Gasolina': '8,8', 'Stock ID': '29549 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/infiniti-q70-perfection-2016-compra-de-autos-29549;https://images.kavak.services/images/29549/infiniti-q70-perfection2016-frontal-lateral-piloto-lejana-1607311172999.jpg?d=540x310
Mazda Cx-3 2018 #191551 ; 28800 KM ; Precio: $368999;{' Tracción': '4x2', 'Transmisión': 'Automática', 'Stock ID': '191551 '};Kavak Punto Valle;Monterrey;https://www.kavak.com/mx/mazda-cx-3-i-sport-2018-compra-de-autos-191551;https://images.kavak.services/images/191551/EXTERIOR-frontSidePilotNear-1654960575044.jpeg?d=540x310
